OB_DT,PMAIZMT
2/1/2006,106.9365020676690
3/1/2006,104.9520803571430
4/1/2006,107.9103473684210
5/1/2006,110.6246821428570
6/1/2006,109.6123566326530
7/1/2006,114.3056101785710
8/1/2006,115.2772892857140
9/1/2006,120.2698946428570
10/1/2006,142.2624107142860
11/1/2006,164.1064012500000
12/1/2006,160.7207348214290
1/1/2007,165.1600189849620
2/1/2007,177.3848855263160
3/1/2007,169.5832697278910
4/1/2007,152.6305667857140
5/1/2007,160.1391589285710
6/1/2007,164.5372644841270
7/1/2007,147.2164013157890
8/1/2007,151.0307857142860
9/1/2007,160.1250315789470
10/1/2007,164.1141037267080
11/1/2007,171.1139433928570
12/1/2007,180.2832636554620
1/1/2008,206.5588043233080
2/1/2008,220.0475977443610
3/1/2008,233.9259292857140
4/1/2008,246.6418625000000
5/1/2008,243.5317735714290
6/1/2008,287.1320708928570
7/1/2008,267.1414540816330
8/1/2008,235.1594666666670
9/1/2008,233.9456133928570
10/1/2008,183.0247028911560
11/1/2008,164.3044002100840
12/1/2008,158.9097969642860
1/1/2009,173.2951299319730
2/1/2009,163.3999605158730
3/1/2009,164.5770303571430
4/1/2009,168.7959054421770
5/1/2009,180.0702121428570
6/1/2009,179.3937946428570
7/1/2009,151.8002553571430
8/1/2009,152.0362942176870
9/1/2009,150.5927930272110
10/1/2009,167.2791214285710
11/1/2009,171.6868545112780
12/1/2009,164.6128196428570
1/1/2010,167.3356308270680
2/1/2010,161.9069612781950
3/1/2010,158.9277694099380
4/1/2010,157.2666426870750
5/1/2010,163.2403005357140
6/1/2010,152.8739339285710
7/1/2010,163.9217455782310
8/1/2010,175.6001303571430
9/1/2010,205.8395204081630
10/1/2010,235.7031229591840
11/1/2010,238.2367487500000
12/1/2010,250.6255508503400
1/1/2011,265.2855239795920
2/1/2011,293.3967969924810
3/1/2011,290.4347217391300
4/1/2011,318.9387760204080
5/1/2011,308.5752214285710
6/1/2011,310.5364742857140
7/1/2011,300.8322094642860
8/1/2011,310.3071116459630
9/1/2011,296.2994964285710
10/1/2011,274.8463760204080
11/1/2011,274.2783489285710
12/1/2011,258.5179404761900
1/1/2012,272.9201455357140
2/1/2012,279.5143214285710
3/1/2012,280.7150519642860
4/1/2012,274.2192966071430
5/1/2012,268.8849035714290
6/1/2012,267.3289217687070
7/1/2012,332.9988525510200
8/1/2012,332.2334953416150
9/1/2012,320.7059056390980
10/1/2012,321.3824173214280
11/1/2012,321.5968704887220
12/1/2012,308.7504005639100
1/1/2013,303.3602112244900
2/1/2013,302.6103404761900
3/1/2013,309.5792050751880
4/1/2013,279.7648464285710
5/1/2013,295.3689750000000
6/1/2013,297.1119132142860
7/1/2013,279.0132714285710
8/1/2013,234.9387660714290
9/1/2013,207.4901733928570
10/1/2013,201.7799928571430
11/1/2013,199.1824441729320
12/1/2013,197.5534486394560
1/1/2014,198.7719886054420
2/1/2014,209.3560195488720
3/1/2014,222.3929171768710
4/1/2014,222.4304107142860
5/1/2014,216.9751010204080
6/1/2014,202.6338229591840
7/1/2014,182.2945162500000
8/1/2014,176.4820806122450
9/1/2014,163.1343812925170
10/1/2014,163.3780892857140
11/1/2014,178.7085350840340
12/1/2014,178.7129460884350
1/1/2015,174.7948714285710
2/1/2015,173.7588657894740
3/1/2015,174.2938214285710
4/1/2015,172.1515770408160
5/1/2015,166.3503894642860
6/1/2015,166.8138607142860
7/1/2015,179.6085303571430
8/1/2015,162.7406991496600
9/1/2015,166.0776239795920
10/1/2015,171.4485732142860
11/1/2015,166.0924240601500
12/1/2015,164.0044017857140
1/1/2016,161.0988768796990
2/1/2016,159.7168453571430
3/1/2016,159.2265321428570
4/1/2016,164.4654018707480
5/1/2016,169.0021198979590
6/1/2016,179.9127392857140
7/1/2016,161.8230448214290
8/1/2016,150.2154124223600
9/1/2016,148.5119017006800
10/1/2016,152.6174440476190
11/1/2016,151.3314157142860
12/1/2016,152.7299246598640
1/1/2017,160.0121069642860
2/1/2017,162.9625359126980
3/1/2017,158.9791192546580
4/1/2017,156.5404520676690
5/1/2017,158.6002196428570
6/1/2017,157.9739071428570
7/1/2017,157.6106458928570
8/1/2017,148.5434303571430
9/1/2017,147.3158578571430
10/1/2017,148.7223767857140
11/1/2017,148.7921658928570
12/1/2017,149.0874275000000
1/1/2018,155.9168753401360
2/1/2018,163.4609697368420
3/1/2018,172.0765899659860
4/1/2018,175.6009824829930
